pair,df,p,idk
AVAXUSDTM-DOGEUSDTM,-1.5322693628735173,0.5174920690664819,10
AVAXUSDTM-XLMUSDTM,-1.446193234681641,0.5599412867545117,8
AVAXUSDTM-NEOUSDTM,-1.3333207535738376,0.613793560071,8
AVAXUSDTM-UNIUSDTM,-0.7344369286940348,0.8376268490435006,8
AVAXUSDTM-XEMUSDTM,-1.5970878935657695,0.48505616797395484,4
AVAXUSDTM-ETCUSDTM,0.32449830343244634,0.9784409541442409,12
AVAXUSDTM-CELOUSDTM,-2.5661206543475985,0.10020353518462916,8
AVAXUSDTM-SOSUSDTM,-1.1723434745975432,0.6853782958996812,11
AVAXUSDTM-SANDUSDTM,-1.4335718159894786,0.5660797955713044,11
AVAXUSDTM-IOSTUSDTM,-1.321324244573981,0.6193608634400323,12
AVAXUSDTM-KSMUSDTM,-0.9677914477017368,0.7648296635993366,10
AVAXUSDTM-YFIUSDTM,-1.7878100006817474,0.3865302633275599,4
AVAXUSDTM-ENJUSDTM,-0.9345104374508882,0.776395348106695,6
AVAXUSDTM-NEARUSDTM,-1.0284052329107733,0.7427636987257034,7
AVAXUSDTM-MATICUSDTM,-1.414534082618508,0.5752888042755621,5
AVAXUSDTM-IMXUSDTM,-1.2610857315190591,0.6467823780319425,11
AVAXUSDTM-OMGUSDTM,-1.3087626517636413,0.625153915438792,4
AVAXUSDTM-NFTUSDTM,-1.707841926680812,0.4270766769448211,8
AVAXUSDTM-C98USDTM,-2.1250672632731664,0.2345551086622789,7
AVAXUSDTM-SHIBUSDTM,-1.5792625254812607,0.4940016875048689,19
AVAXUSDTM-ALGOUSDTM,-0.6692902179079653,0.8545445343944233,8
AVAXUSDTM-SOLUSDTM,-0.5846860957649166,0.8744049316399796,12
PEOPLEUSDTM-ARPAUSDTM,-3.798049613244915,0.002927333155390744,19
PEOPLEUSDTM-DENTUSDTM,-2.1374964474965417,0.22970673851522555,9
PEOPLEUSDTM-APEUSDTM,-1.7560981385167092,0.4024650986253681,12
PEOPLEUSDTM-TLMUSDTM,-2.831905325271443,0.05385886187374977,9
PEOPLEUSDTM-FTMUSDTM,-1.9259054002552112,0.319974226876066,9
PEOPLEUSDTM-XRPUSDTM,-0.7716712260617931,0.827302148664815,9
PEOPLEUSDTM-VRAUSDTM,-1.554088626520299,0.5066052415520994,9
PEOPLEUSDTM-BNBUSDTM,-0.7562234327170873,0.8316442347717605,9
PEOPLEUSDTM-BANDUSDTM,-2.0077601867303576,0.2831809278779126,9
PEOPLEUSDTM-JASMYUSDTM,-0.41781983272966644,0.9070807185453986,10
PEOPLEUSDTM-CELRUSDTM,-2.4604495852768027,0.125396247981384,9
PEOPLEUSDTM-SLPUSDTM,-2.68016441496224,0.07753403471453318,7
PEOPLEUSDTM-ONEUSDTM,-1.6834394836405744,0.4396645153605085,7
PEOPLEUSDTM-ZECUSDTM,-3.1226254169940675,0.024923488360446385,9
PEOPLEUSDTM-ETHUSDTM,-1.6823045476758007,0.4402519915858322,9
PEOPLEUSDTM-MANAUSDTM,-1.1960812888648504,0.6752791666494883,9
PEOPLEUSDTM-1INCHUSDTM,-0.30270239088939616,0.9251207197983328,6
PEOPLEUSDTM-ONTUSDTM,-1.3885747736703837,0.5877410938165584,9
PEOPLEUSDTM-XBTUSDTM,-0.8384592685068757,0.8075631616826279,9
PEOPLEUSDTM-SRMUSDTM,-1.9584814216245234,0.3050688339353127,4
PEOPLEUSDTM-VETUSDTM,-2.7146382661452915,0.0715392825590481,9
PEOPLEUSDTM-EGLDUSDTM,-2.0457074723128654,0.2668982988730758,7
PEOPLEUSDTM-MKRUSDTM,-0.11641683948789525,0.9477786033819199,7
PEOPLEUSDTM-BCHUSDTM,-1.609252635091755,0.4789441178825159,9
PEOPLEUSDTM-YGGUSDTM,-1.4487941722123223,0.5586731710812133,9
PEOPLEUSDTM-SNXUSDTM,-1.3311582401002657,0.6147996029824441,8
PEOPLEUSDTM-LRCUSDTM,-1.7897070301662814,0.3855837085648963,10
PEOPLEUSDTM-AGLDUSDTM,-1.5847546808250834,0.49124707173686444,10
PEOPLEUSDTM-FLOWUSDTM,-1.8513871703484364,0.3552640055421,7
PEOPLEUSDTM-EOSUSDTM,-2.246998002462138,0.18963196470776872,9
PEOPLEUSDTM-RVNUSDTM,-2.5846009885849597,0.09622187967051937,11
PEOPLEUSDTM-CHZUSDTM,-0.9171889593452794,0.7822591569367131,9
PEOPLEUSDTM-QTUMUSDTM,-1.6667795327809194,0.44830477804867475,9
PEOPLEUSDTM-ICPUSDTM,-1.6378332975800887,0.46339318078567815,3
PEOPLEUSDTM-ALICEUSDTM,-3.10855902124161,0.025926232548164223,16
PEOPLEUSDTM-LINAUSDTM,-2.190195721211163,0.20982306875761386,7
PEOPLEUSDTM-DOTUSDM,-1.602712542173208,0.4822307346534411,9
PEOPLEUSDTM-WAVESUSDTM,-1.079191814107802,0.7232982406429485,9
PEOPLEUSDTM-LTCUSDTM,-1.5013980955900454,0.532819607980972,7
PEOPLEUSDTM-CTSIUSDTM,-2.411038271171386,0.13864514471412875,15
PEOPLEUSDTM-LUNAUSDTM,-0.455933558871112,0.9003327205685641,9
PEOPLEUSDTM-CROUSDTM,-1.5906419371895093,0.48829267035011653,9
PEOPLEUSDTM-TRXUSDTM,-0.9589926902671494,0.7679255350011014,9
PEOPLEUSDTM-IOTXUSDTM,-1.7377240321256748,0.4117881612928267,8
PEOPLEUSDTM-FILUSDTM,-1.4602052686955045,0.5530974220964118,9
PEOPLEUSDTM-DGBUSDTM,-2.586478729240522,0.0958241649770118,7
PEOPLEUSDTM-ADAUSDTM,-2.1284952943617657,0.23321191758724602,9
PEOPLEUSDTM-GALAUSDTM,-1.246845652478713,0.6531264777770938,9
PEOPLEUSDTM-ENSUSDTM,-2.2684457113810215,0.18234685372046816,7
PEOPLEUSDTM-AAVEUSDTM,-2.196121555824514,0.2076561186852005,9
PEOPLEUSDTM-ATOMUSDTM,0.16155507280503048,0.9700210040883893,7
PEOPLEUSDTM-SUSHIUSDTM,-2.4851423057631146,0.11913134082959981,9
PEOPLEUSDTM-SXPUSDTM,-2.9233530646058212,0.04269897096662491,13
PEOPLEUSDTM-ROSEUSDTM,-1.966440160825856,0.30147893559368716,9
PEOPLEUSDTM-WAXPUSDTM,-1.6559245202863278,0.45395247289721397,9
PEOPLEUSDTM-API3USDTM,-1.374148007184144,0.594605237956728,9
PEOPLEUSDTM-BATUSDTM,-0.6658869311296619,0.85538886254992,9
PEOPLEUSDTM-RNDRUSDTM,-1.5188963458221727,0.5241437402882922,9
PEOPLEUSDTM-DYDXUSDTM,-1.9352690641142356,0.315655587526783,7
PEOPLEUSDTM-AXSUSDTM,-1.9780416925265059,0.2962832589264039,13
PEOPLEUSDTM-BSVUSDTM,-1.8051213225001392,0.37792207986447623,9
PEOPLEUSDTM-CRVUSDTM,-2.8689879731118197,0.04907495198306444,13
PEOPLEUSDTM-COMPUSDTM,-0.7931592643011985,0.8211232278038829,9
PEOPLEUSDTM-XTZUSDTM,-1.5585399233368682,0.5043796775526611,9
PEOPLEUSDTM-KNCUSDTM,-0.9100650099701192,0.7846397970514917,18
PEOPLEUSDTM-HBARUSDTM,-0.7441481137932926,0.8349804769620579,9
PEOPLEUSDTM-THETAUSDTM,-1.3778517761856177,0.5928469998140632,7
PEOPLEUSDTM-XMRUSDTM,-0.7673893924441901,0.8285140445819568,7
PEOPLEUSDTM-OCEANUSDTM,-1.4591373381062118,0.5536200615472971,7
PEOPLEUSDTM-DASHUSDTM,-1.5542826933541598,0.5065082416549944,9
PEOPLEUSDTM-MIRUSDTM,-0.7710951694175636,0.8274655646776925,10
PEOPLEUSDTM-CHRUSDTM,-2.8700117228574986,0.048948011387014725,9
PEOPLEUSDTM-GRTUSDTM,-1.4068080505480325,0.579007936462912,9
PEOPLEUSDTM-LINKUSDTM,-1.943660691697045,0.3118085306189081,9
PEOPLEUSDTM-DOGEUSDTM,-1.9676716750687804,0.30092529758246817,9
PEOPLEUSDTM-XLMUSDTM,-1.7697274056584558,0.3955913548742851,7
PEOPLEUSDTM-NEOUSDTM,-2.163600208848504,0.21972062790516306,9
PEOPLEUSDTM-UNIUSDTM,-2.9230812020588743,0.04272905171097277,9
PEOPLEUSDTM-XEMUSDTM,-1.5064548445854982,0.5303158372231903,9
PEOPLEUSDTM-ETCUSDTM,-1.2899374819701284,0.6337632619341027,10
PEOPLEUSDTM-CELOUSDTM,-2.435061888469703,0.1320839474889175,7
PEOPLEUSDTM-SOSUSDTM,-1.5568635063487268,0.5052180206564768,7
PEOPLEUSDTM-SANDUSDTM,-1.471861583443712,0.5473822672018527,9
PEOPLEUSDTM-IOSTUSDTM,-1.8046052471380325,0.3781777251609629,9
PEOPLEUSDTM-KSMUSDTM,-2.1040880047828905,0.24287397479040734,9
PEOPLEUSDTM-YFIUSDTM,-0.9289258158341562,0.7782975662029801,9
PEOPLEUSDTM-ENJUSDTM,-2.3058816011071293,0.1700780545214281,9
PEOPLEUSDTM-NEARUSDTM,-2.8921962585333896,0.0462630212093924,9
PEOPLEUSDTM-MATICUSDTM,-1.449355387223841,0.5583994074434802,9
PEOPLEUSDTM-IMXUSDTM,-1.2484294958066695,0.652423593867503,9
PEOPLEUSDTM-OMGUSDTM,-2.5935885515177413,0.09432963710389503,9
PEOPLEUSDTM-NFTUSDTM,-1.550706900233536,0.5082950711298104,9
PEOPLEUSDTM-C98USDTM,-1.782274771441178,0.38929660507132213,7
PEOPLEUSDTM-SHIBUSDTM,-1.3301407665548313,0.6152725781906964,9
PEOPLEUSDTM-ALGOUSDTM,-2.7442881898710345,0.06668298010863767,9
PEOPLEUSDTM-SOLUSDTM,-3.2856763467237933,0.015531009670008714,13
ARPAUSDTM-DENTUSDTM,-1.7444161179478137,0.4083853537361453,16
ARPAUSDTM-APEUSDTM,-1.665092935374632,0.44918139667341633,12
ARPAUSDTM-TLMUSDTM,-2.2622038551935626,0.18444778541647744,18
ARPAUSDTM-FTMUSDTM,-1.2048978158999146,0.6714852543114436,10
ARPAUSDTM-XRPUSDTM,0.4374367996739812,0.9828422332282756,10
ARPAUSDTM-VRAUSDTM,-1.4197122444351227,0.57279019131844,10
ARPAUSDTM-BNBUSDTM,0.43316773618626825,0.9826938088379299,16
ARPAUSDTM-BANDUSDTM,-1.8348520343516799,0.36330099162571744,10
ARPAUSDTM-JASMYUSDTM,-0.7744757363104742,0.8265049036332225,8
ARPAUSDTM-CELRUSDTM,-2.100416865987887,0.2443470106348768,10
ARPAUSDTM-SLPUSDTM,-3.315039418373471,0.014219451320495605,6
ARPAUSDTM-ONEUSDTM,-2.3563598953664773,0.15443407632544648,10
ARPAUSDTM-ZECUSDTM,-2.1300465339170342,0.23260559819003973,7
ARPAUSDTM-ETHUSDTM,-0.9484291521299789,0.7716061510127794,10
ARPAUSDTM-MANAUSDTM,-0.619949518649515,0.8664102380386127,16
ARPAUSDTM-1INCHUSDTM,-0.734650541790005,0.8375689887065985,8
ARPAUSDTM-ONTUSDTM,-1.2432057412215198,0.6547391906014032,16
ARPAUSDTM-XBTUSDTM,-0.021186144616263725,0.9567445419849743,10
ARPAUSDTM-SRMUSDTM,-1.898652103582898,0.33269546919824244,3
ARPAUSDTM-VETUSDTM,-2.8237317130112802,0.05496300703312381,16
ARPAUSDTM-EGLDUSDTM,-2.3301760562046736,0.16242018182754042,11
ARPAUSDTM-MKRUSDTM,-0.6984726224393473,0.8471447665171714,7
ARPAUSDTM-BCHUSDTM,-1.1989618210699036,0.674042150767516,10
ARPAUSDTM-YGGUSDTM,-1.9734929746467755,0.29831505517555157,10
ARPAUSDTM-SNXUSDTM,-1.3600943491535713,0.6012509286944051,16
ARPAUSDTM-LRCUSDTM,-1.4792010797731026,0.5437740346657873,10
ARPAUSDTM-AGLDUSDTM,-1.3707412114573925,0.5962200204828317,10
ARPAUSDTM-FLOWUSDTM,-2.212160358766939,0.2018615891525467,4
ARPAUSDTM-EOSUSDTM,-1.8937513618901578,0.3350063531525722,16
ARPAUSDTM-RVNUSDTM,-2.0320149009127086,0.2727144486455365,10
ARPAUSDTM-CHZUSDTM,-1.2746702911670613,0.6406795619016568,10
ARPAUSDTM-QTUMUSDTM,-1.5121447432387907,0.5274951820590322,18
ARPAUSDTM-ICPUSDTM,-2.6951703146988444,0.07487775081235437,3
ARPAUSDTM-ALICEUSDTM,-2.1414846172459967,0.22816377017907502,11
ARPAUSDTM-LINAUSDTM,-2.5951754663038624,0.09399850587856234,7
ARPAUSDTM-DOTUSDM,-0.8904539774079654,0.7910998025821917,10
ARPAUSDTM-WAVESUSDTM,-0.8431966817874588,0.8061030164751781,8
ARPAUSDTM-LTCUSDTM,-1.3609015566258984,0.6008703412307281,10
ARPAUSDTM-CTSIUSDTM,-1.9270510094085382,0.3194444015503817,16
ARPAUSDTM-LUNAUSDTM,-0.026348544629024934,0.9562980761974207,10
ARPAUSDTM-CROUSDTM,-1.1339234924858854,0.7013558132673687,10
ARPAUSDTM-TRXUSDTM,-0.5017551610930105,0.8916735332960819,16
ARPAUSDTM-IOTXUSDTM,-2.0014192889801894,0.2859511373665654,11
ARPAUSDTM-FILUSDTM,-1.0381623960821926,0.7390923078198546,16
ARPAUSDTM-DGBUSDTM,-2.6406180780731283,0.08488950331752565,16
ARPAUSDTM-ADAUSDTM,-0.9543948925318464,0.7695323888038654,10
ARPAUSDTM-GALAUSDTM,-2.1516743867175085,0.2242497271367418,7
ARPAUSDTM-ENSUSDTM,-2.0745698676518303,0.2548623460608308,8
ARPAUSDTM-AAVEUSDTM,-1.5521696306700066,0.5075642580980614,10
ARPAUSDTM-ATOMUSDTM,0.403967690297498,0.9816427138947078,10
ARPAUSDTM-SUSHIUSDTM,-1.2823478813687663,0.6372089911603204,10
ARPAUSDTM-SXPUSDTM,-1.9258399813728293,0.3200044942129847,18
ARPAUSDTM-ROSEUSDTM,-1.9865928982209646,0.2924824089195564,10
ARPAUSDTM-WAXPUSDTM,-2.2101149906946143,0.2025948030528974,4
ARPAUSDTM-API3USDTM,-1.9468784355637268,0.3103392920506726,10
ARPAUSDTM-BATUSDTM,-0.42526056912325755,0.9057949675285453,10
ARPAUSDTM-RNDRUSDTM,-1.591187434598262,0.48801884427766257,10
ARPAUSDTM-DYDXUSDTM,-0.8017988409723453,0.8185931005409541,13
ARPAUSDTM-AXSUSDTM,1.300178943300978,0.9966099376668686,12
ARPAUSDTM-BSVUSDTM,-1.708653424682336,0.42665957777610286,7
ARPAUSDTM-CRVUSDTM,-1.3299128622274963,0.6153784872855822,16
ARPAUSDTM-COMPUSDTM,0.08897704898824015,0.965300397805465,10
ARPAUSDTM-XTZUSDTM,-0.9673735726675062,0.764977313173199,16
ARPAUSDTM-KNCUSDTM,-0.3026988917833315,0.9251212176369732,8
ARPAUSDTM-HBARUSDTM,-1.112407485310504,0.7100986653476659,16
ARPAUSDTM-THETAUSDTM,-1.345271816353922,0.6082144966104716,18
ARPAUSDTM-XMRUSDTM,0.3642756103178371,0.9801086834432291,13
ARPAUSDTM-OCEANUSDTM,-1.3863370647896214,0.5888084914238835,7
ARPAUSDTM-DASHUSDTM,-1.0262717021265146,0.743562123528231,16
ARPAUSDTM-MIRUSDTM,-0.6536913349119317,0.8583827782749376,6
ARPAUSDTM-CHRUSDTM,-2.21907747092659,0.19939443582189875,10
ARPAUSDTM-GRTUSDTM,-1.767656046158606,0.3966336319390903,7
ARPAUSDTM-LINKUSDTM,-0.8510283086574113,0.8036716694388303,10
ARPAUSDTM-DOGEUSDTM,-2.940099520196847,0.04087974390217326,16
ARPAUSDTM-XLMUSDTM,-1.4160557259564757,0.5745550582698818,10
ARPAUSDTM-NEOUSDTM,-1.9500818690942738,0.3088798652347514,17
ARPAUSDTM-UNIUSDTM,-3.040270492475539,0.03130097399981197,10
ARPAUSDTM-XEMUSDTM,-1.2989603661139077,0.6296478131233947,9
ARPAUSDTM-ETCUSDTM,-0.6663991175108247,0.8552620406725013,10
ARPAUSDTM-CELOUSDTM,-1.8055384053682728,0.37771551662309705,10
ARPAUSDTM-SOSUSDTM,-3.99200438431834,0.0014529622113395888,19
ARPAUSDTM-SANDUSDTM,-1.376337525997171,0.5935661756401936,16
ARPAUSDTM-IOSTUSDTM,-1.5628729472462375,0.5022119170454212,10
ARPAUSDTM-KSMUSDTM,-1.3934729181563135,0.5854012524911512,10
ARPAUSDTM-YFIUSDTM,-0.058204124209150214,0.9534456919554231,10
ARPAUSDTM-ENJUSDTM,-4.137163975466564,0.0008402412305359897,7
ARPAUSDTM-NEARUSDTM,-3.2609834619801648,0.016715180572246385,10
ARPAUSDTM-MATICUSDTM,-0.47220343065474346,0.8973276227952154,16
ARPAUSDTM-IMXUSDTM,-1.190189203792788,0.6778017658809051,11
ARPAUSDTM-OMGUSDTM,-1.8947146159324881,0.33455159285893854,4
ARPAUSDTM-NFTUSDTM,-1.3571619414739842,0.6026323467490295,10
ARPAUSDTM-C98USDTM,-1.8742291774585327,0.34427992160774024,10
ARPAUSDTM-SHIBUSDTM,-1.2186198393854912,0.6655350806375351,10
ARPAUSDTM-ALGOUSDTM,-2.616595962643234,0.08961550084571696,10
ARPAUSDTM-SOLUSDTM,-3.0997370296893587,0.02657265558560429,19
DENTUSDTM-APEUSDTM,-1.9992810345522896,0.2868884294156435,12
DENTUSDTM-TLMUSDTM,-2.8800664123427238,0.04771559096003837,7
DENTUSDTM-FTMUSDTM,-1.4799609325939662,0.5434000665270329,5
DENTUSDTM-XRPUSDTM,-0.3119636252076506,0.9237927509103471,5
DENTUSDTM-VRAUSDTM,-1.1640530011112669,0.6888649895298091,9
DENTUSDTM-BNBUSDTM,-0.21129024106639197,0.9371624018092428,5
DENTUSDTM-BANDUSDTM,-1.5761189411539651,0.4955776558319646,4
DENTUSDTM-JASMYUSDTM,-1.1179039001581395,0.7078794835824609,4
DENTUSDTM-CELRUSDTM,-2.618068013071841,0.08932017832386147,4
DENTUSDTM-SLPUSDTM,-2.0589896106037684,0.26132145027183373,6
DENTUSDTM-ONEUSDTM,-2.152142487668363,0.22407090026987375,8
DENTUSDTM-ZECUSDTM,-3.129707717116563,0.0244313813387667,5
DENTUSDTM-ETHUSDTM,-1.282045693927767,0.6373458804471426,11
DENTUSDTM-MANAUSDTM,-0.8415192890295564,0.8066209282962952,5
DENTUSDTM-1INCHUSDTM,-0.9935446510282352,0.7556114536468987,5
DENTUSDTM-ONTUSDTM,-1.421515308337298,0.5719190579470619,11
DENTUSDTM-XBTUSDTM,-0.5696425587883587,0.8776950901860705,5
DENTUSDTM-SRMUSDTM,-2.224378229487414,0.19751682615203592,3
DENTUSDTM-VETUSDTM,-2.6868765885104304,0.07633685335932583,11
DENTUSDTM-EGLDUSDTM,-2.799001929527394,0.05841647682385288,7
DENTUSDTM-MKRUSDTM,-0.39230874007206035,0.9113750438108377,4
DENTUSDTM-BCHUSDTM,-2.715278450346071,0.07143153949916581,11
DENTUSDTM-YGGUSDTM,-1.4023698085696807,0.5811394766486071,8
DENTUSDTM-SNXUSDTM,-1.4643066240384814,0.5510887037194968,8
DENTUSDTM-LRCUSDTM,-1.25393419537161,0.6499753527680633,12
DENTUSDTM-AGLDUSDTM,-1.4643602448638249,0.5510624258668685,11
DENTUSDTM-FLOWUSDTM,-1.9591443100429229,0.30476904048831355,6
DENTUSDTM-EOSUSDTM,-3.5151088398580494,0.00760744035345995,9
DENTUSDTM-RVNUSDTM,-3.8310224756835387,0.0026053939394712626,5
DENTUSDTM-CHZUSDTM,-1.0018900034612443,0.7525743418180209,4
DENTUSDTM-QTUMUSDTM,-1.0329060764172198,0.7410742103243139,5
DENTUSDTM-ICPUSDTM,-2.1857769074917184,0.2114480572107354,1
DENTUSDTM-ALICEUSDTM,-1.939648354017318,0.31364518067203306,4
DENTUSDTM-LINAUSDTM,-3.0535386996957894,0.03018811714148651,5
DENTUSDTM-DOTUSDM,-0.9521555028244323,0.7703123063803632,5
DENTUSDTM-WAVESUSDTM,-1.3908391698625462,0.5866599706177357,12
DENTUSDTM-LTCUSDTM,-1.3719758061271683,0.5956351125788,5
DENTUSDTM-CTSIUSDTM,-4.276205463436515,0.0004882993457327366,7
DENTUSDTM-LUNAUSDTM,-0.43362161178379677,0.9043320197296404,13
DENTUSDTM-CROUSDTM,-0.9578035604449824,0.7683418337027738,5
DENTUSDTM-TRXUSDTM,-0.7543573638342252,0.8321631159563452,4
DENTUSDTM-IOTXUSDTM,-2.2839151007625778,0.17720815971329112,8
DENTUSDTM-FILUSDTM,-1.1889638193459975,0.6783250893728441,8
DENTUSDTM-DGBUSDTM,-2.1258498835366524,0.2342480571123985,12
DENTUSDTM-ADAUSDTM,-1.0322863573443968,0.7413072497183347,4
DENTUSDTM-GALAUSDTM,-1.4928587919884129,0.5370409880799605,5
DENTUSDTM-ENSUSDTM,-2.697674437416124,0.07444155820147344,13
DENTUSDTM-AAVEUSDTM,-1.5221319409590923,0.5225359635048921,15
DENTUSDTM-ATOMUSDTM,-0.3920589697810688,0.9114162259228266,5
DENTUSDTM-SUSHIUSDTM,-1.7550179725348127,0.40301142398071943,8
DENTUSDTM-SXPUSDTM,-2.3781649466747226,0.14799425938809063,4
DENTUSDTM-ROSEUSDTM,-3.5543934401132775,0.006695229025812466,5
DENTUSDTM-WAXPUSDTM,-1.257876688401982,0.6482168412646494,3
DENTUSDTM-API3USDTM,-1.7763985434066978,0.3922405031884923,17
DENTUSDTM-BATUSDTM,-0.8401754488587719,0.8070351301673893,8
DENTUSDTM-RNDRUSDTM,-2.1119641878159228,0.23973103541562735,10
DENTUSDTM-DYDXUSDTM,-1.2978205135694754,0.6301688405369248,4
DENTUSDTM-AXSUSDTM,-0.013831014836989598,0.9573732147528967,19
DENTUSDTM-BSVUSDTM,-2.2694957683045405,0.18199496991316277,11
